arm,level,concord,seed,n_ad6,stop_reason,n_joint_shadow,terminal_post_corr,t1_max_dev,verdicts,true_l
OFF,-0.6,concordant,55044,181,all_resolved,,-0.013049139520595507,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55045,283,all_resolved,,0.005279273347201879,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55045,300,bank_exhausted,,5.9247906810281e-05,0.0,FAIL|FAIL|FAIL|REFER_BORDERLINE|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55046,181,all_resolved,,0.04245746886459859,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55046,189,all_resolved,,-0.008018631457874107,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55047,187,all_resolved,,0.021824647699066096,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55047,198,all_resolved,,0.005328213373331381,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55048,300,bank_exhausted,,0.028262002256803895,0.0,REFER_BORDERLINE|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55048,229,all_resolved,,0.0027513736126584735,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55049,187,all_resolved,,0.0019105283105311168,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55049,248,all_resolved,,0.024660074494689793,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55050,185,all_resolved,,0.06345836010125339,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55050,300,bank_exhausted,,0.03142196007854217,0.0,FAIL|REFER_BORDERLINE|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55051,197,all_resolved,,0.026267501815986687,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55051,183,all_resolved,,-0.012723149656978303,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55052,183,all_resolved,,0.03366505801889992,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55052,221,all_resolved,,-3.330321984638819e-05,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55053,194,all_resolved,,0.0184184033364686,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55053,236,all_resolved,,0.009166519638187218,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
ON,-0.6,concordant,55054,186,all_resolved,,0.03769121713815761,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
OFF,-0.6,concordant,55054,179,all_resolved,,-0.004338971406342869,0.0,FAIL|FAIL|FAIL|FAIL|FAIL|FAIL|FAIL,-0.600|-0.600|-0.600|-0.600|-0.600|-0.600|-0.600
